# 声速四种方法综合可视化实验
# method=回声法
# true_speed_m_s=343.0
# estimated_speed_m_s=342.85714285714283
# theoretical_delay_s=0.01749271137026239
# measured_delay_s=0.0175
time_s,direct,echo,measured
0.0,8.337947094201161e-12,0.0,-0.01826622667485744
2.0833333333333333e-5,1.4147127288998099e-11,0.0,-0.004424453392623617
4.1666666666666665e-5,2.387113687938482e-11,0.0,-0.009550354865287502
6.25e-5,4.005656101612051e-11,0.0,-0.007056691473882099
8.333333333333333e-5,6.68451550300463e-11,0.0,0.008834393159432557
0.00010416666666666666,1.1093329802999388e-10,0.0,-0.0062058057331242705
0.000125,1.8308367885026236e-10,0.0,-0.017957008540718283
0.00014583333333333332,3.0049209545241743e-10,0.0,0.001672962312852174
0.00016666666666666666,4.904697079258059e-10,0.0,0.025647461338678217
0.0001875,7.961355987626659e-10,0.0,0.028695023407603888
0.00020833333333333332,1.2851612231310383e-9,0.0,-0.02860837991979345
0.00022916666666666666,2.063117195458961e-9,0.0,0.04801959670605816
0.00025,3.2937141103060573e-9,0.0,0.09088032494092434
0.0002708333333333333,5.229300725028531e-9,0.0,-0.04037356791392911
0.00029166666666666664,8.256520266816308e-9,0.0,-0.04143836431674345
0.0003125,1.2964214279940448e-8,0.0,0.015179083817184339
0.0003333333333333333,2.0243754694022385e-8,0.0,0.023695943343074205
0.00035416666666666664,3.143631612326249e-8,0.0,-0.015416763886769868
0.000375,4.854762008605322e-8,0.0,-0.013297706811421953
0.0003958333333333333,7.455897997747847e-8,0.0,0.03816906185900175
0.00041666666666666664,1.1387481570405696e-7,0.0,-0.01453922027153214
0.0004375,1.7296217276088755e-7,0.0,-0.019890950618414952
0.0004583333333333333,2.6125841839694016e-7,0.0,-0.09623286586545389
0.00047916666666666664,3.924507564020505e-7,0.0,-0.054707835400663776
0.0005,5.862674243520382e-7,0.0,0.016045161658464493
0.0005208333333333333,8.709677462948294e-7,0.0,-0.0020759077336492734
0.0005416666666666666,1.2867793933832297e-6,0.0,0.06182151261151366
0.0005625,1.8906095110460947e-6,0.0,-0.012848580364050365
0.0005833333333333333,2.7624555283932603e-6,0.0,-0.04337111216969191
0.0006041666666666667,4.014065621902136e-6,0.0,-0.0047286938841266295
0.000625,5.8005524325328585e-6,0.0,-0.04325025605926302
0.0006458333333333333,8.335851353005663e-6,0.0,0.0534963489702562
0.0006666666666666666,1.1913141008122909e-5,0.0,-0.05426093445663941
0.0006875,1.693161243612993e-5,0.0,-0.03380177105575023
0.0007083333333333333,2.3931287903595988e-5,0.0,0.03250553361154867
0.0007291666666666666,3.3637951505070945e-5,0.0,-0.044988699751789187
0.00075,4.7020660422383204e-5,0.0,0.03368667729657895
0.0007708333333333333,6.536475311110263e-5,0.0,-0.019981488386066847
0.0007916666666666666,9.036374921186028e-5,0.0,0.0020684708679891426
0.0008125,0.00012423403016312488,0.0,0.02193968333328168
0.0008333333333333333,0.00016985667656141038,0.0,0.024151818231304856
0.0008541666666666666,0.00023095128697359074,0.0,-0.04218851384519204
0.000875,0.0003122869721997819,0.0,-0.020445888257961595
0.0008958333333333333,0.0004199359575154529,0.0,0.019619086634933364
0.0009166666666666666,0.0005615752710633414,0.0,0.015041099300464444
0.0009375,0.0007468417769095958,0.0,0.06663378742096232
0.0009583333333333333,0.0009877452450248105,0.0,-0.009408419826273945
0.0009791666666666666,0.0012991431499858091,0.0,0.011163641649354662
0.001,0.001699279365552657,0.0,0.01807861459797907
0.0010208333333333332,0.002210386786637114,0.0,-0.01140231869236006
0.0010416666666666667,0.0028593510869696654,0.0,0.008927854907255728
0.0010624999999999999,0.003678429252315486,0.0,0.012351672971423023
0.0010833333333333333,0.00470601218659805,0.0,-0.0027800573007937803
0.0011041666666666667,0.0059874155828066695,0.0,-0.002510828173535308
0.001125,0.007575677444259916,0.0,0.01434414853258631
0.0011458333333333333,0.009532334258794628,0.0,-0.003972609974807365
0.0011666666666666665,0.01192814106418012,0.0,-0.02175534223415645
0.0011875,0.014843693770955712,0.0,0.020208642970850146
0.0012083333333333334,0.018369905483135763,0.0,0.016294286484304005
0.0012291666666666666,0.02260828261025713,0.0,0.02387239026030472
0.00125,0.02767094179778418,0.0,-0.010603042816118683
0.0012708333333333332,0.03368030567160707,0.0,0.035311093567948586
0.0012916666666666667,0.04076841467953453,0.0,0.040347291244407585
0.0013124999999999999,0.049075794497791814,0.0,0.10489994119213825
0.0013333333333333333,0.058749824089630476,0.0,0.12418567159133727
0.0013541666666666667,0.06994255900312628,0.0,0.09377698259898364
0.001375,0.08280797818454565,0.0,0.042769404536902714
0.0013958333333333333,0.09749864058233079,0.0,0.15929302818490568
